date,location,cases_per_100k
2020-01-01,Spain,0.0
2020-01-02,Spain,0.8989473684210527
2020-01-03,Spain,2.654736842105263
2020-01-04,Spain,4.042105263157895
2020-01-05,Spain,4.042105263157895
2020-01-06,Spain,6.383157894736842
2020-01-07,Spain,8.138947368421054
2020-01-08,Spain,9.93894736842105
2020-01-09,Spain,11.846315789473683
2020-01-10,Spain,14.402105263157896
2020-01-11,Spain,18.919999999999998
2020-01-12,Spain,18.919999999999998
2020-01-13,Spain,19.837894736842106
2020-01-14,Spain,23.682105263157897
2020-01-15,Spain,23.682105263157897
2020-01-16,Spain,25.233684210526313
2020-01-17,Spain,25.233684210526313
2020-01-18,Spain,26.32842105263158
2020-01-19,Spain,28.324210526315788
2020-01-20,Spain,28.324210526315788
2020-01-21,Spain,28.324210526315788
2020-01-22,Spain,28.324210526315788
2020-01-23,Spain,29.431578947368422
2020-01-24,Spain,29.85263157894737
2020-01-25,Spain,34.07368421052631
2020-01-26,Spain,34.81894736842105
2020-01-27,Spain,39.562105263157896
2020-01-28,Spain,40.833684210526314
2020-01-29,Spain,43.351578947368424
2020-01-30,Spain,45.58526315789474
2020-01-31,Spain,47.88421052631578
2020-02-01,Spain,48.38105263157895
2020-02-02,Spain,51.461052631578944
2020-02-03,Spain,54.74736842105263
2020-02-04,Spain,57.91789473684211
2020-02-05,Spain,61.869473684210526
2020-02-06,Spain,63.53263157894736
2020-02-07,Spain,66.21684210526315
2020-02-08,Spain,68.43578947368421
2020-02-09,Spain,69.05052631578948
2020-02-10,Spain,73.31157894736842
2020-02-11,Spain,76.04631578947368
2020-02-12,Spain,79.88631578947368
2020-02-13,Spain,87.81684210526316
2020-02-14,Spain,92.52210526315788
2020-02-15,Spain,97.2
2020-02-16,Spain,103.69052631578947
2020-02-17,Spain,110.66105263157897
2020-02-18,Spain,118.78105263157894
2020-02-19,Spain,123.16842105263159
2020-02-20,Spain,131.66105263157897
2020-02-21,Spain,137.1157894736842
2020-02-22,Spain,141.05052631578948
2020-02-23,Spain,145.58736842105264
2020-02-24,Spain,153.77473684210528
2020-02-25,Spain,161.6021052631579
2020-02-26,Spain,170.53263157894736
2020-02-27,Spain,175.98105263157896
2020-02-28,Spain,182.64421052631582
2020-02-29,Spain,188.09894736842108
2020-03-01,Spain,192.4821052631579
2020-03-02,Spain,200.40421052631575
2020-03-03,Spain,211.2673684210526
2020-03-04,Spain,221.58526315789476
2020-03-05,Spain,228.9705263157895
2020-03-06,Spain,239.88210526315788
2020-03-07,Spain,248.10736842105263
2020-03-08,Spain,258.0842105263158
2020-03-09,Spain,269.18105263157895
2020-03-10,Spain,278.45473684210526
2020-03-11,Spain,287.18105263157895
2020-03-12,Spain,298.7452631578948
2020-03-13,Spain,309.17263157894735
2020-03-14,Spain,319.22315789473686
2020-03-15,Spain,331.5242105263158
2020-03-16,Spain,342.64842105263153
2020-03-17,Spain,355.02947368421053
2020-03-18,Spain,365.3873684210526
2020-03-19,Spain,378.8357894736842
2020-03-20,Spain,389.7136842105263
2020-03-21,Spain,401.7768421052632
2020-03-22,Spain,411.57473684210527
2020-03-23,Spain,426.7094736842106
2020-03-24,Spain,440.27789473684214
2020-03-25,Spain,454.69263157894727
2020-03-26,Spain,465.68
2020-03-27,Spain,480.00631578947366
2020-03-28,Spain,493.61894736842106
2020-03-29,Spain,510.1136842105263
2020-03-30,Spain,522.1431578947369
2020-03-31,Spain,537.6
2020-04-01,Spain,554.4231578947368
2020-04-02,Spain,567.6357894736841
2020-04-03,Spain,583.2063157894737
2020-04-04,Spain,596.9263157894736
2020-04-05,Spain,612.6968421052632
2020-04-06,Spain,629.098947368421
2020-04-07,Spain,647.2926315789474
2020-04-08,Spain,663.6778947368421
2020-04-09,Spain,678.7326315789473
2020-04-10,Spain,696.0273684210526
2020-04-11,Spain,712.4526315789474
