date,location,deaths_per_100k
2020-01-01,Spain,0.0
2020-01-02,Spain,0.01894736842105263
2020-01-03,Spain,0.05473684210526316
2020-01-04,Spain,0.08210526315789474
2020-01-05,Spain,0.08210526315789474
2020-01-06,Spain,0.12842105263157896
2020-01-07,Spain,0.16421052631578947
2020-01-08,Spain,0.2
2020-01-09,Spain,0.23789473684210524
2020-01-10,Spain,0.28842105263157897
2020-01-11,Spain,0.37894736842105264
2020-01-12,Spain,0.37894736842105264
2020-01-13,Spain,0.3978947368421053
2020-01-14,Spain,0.47368421052631576
2020-01-15,Spain,0.47368421052631576
2020-01-16,Spain,0.5052631578947369
2020-01-17,Spain,0.5052631578947369
2020-01-18,Spain,0.5263157894736843
2020-01-19,Spain,0.5663157894736842
2020-01-20,Spain,0.5663157894736842
2020-01-21,Spain,0.5663157894736842
2020-01-22,Spain,0.5663157894736842
2020-01-23,Spain,0.5873684210526317
2020-01-24,Spain,0.5957894736842105
2020-01-25,Spain,0.6799999999999999
2020-01-26,Spain,0.6947368421052632
2020-01-27,Spain,0.7894736842105263
2020-01-28,Spain,0.8147368421052631
2020-01-29,Spain,0.865263157894737
2020-01-30,Spain,0.9094736842105264
2020-01-31,Spain,0.9557894736842105
2020-02-01,Spain,0.9663157894736839
2020-02-02,Spain,1.0273684210526315
2020-02-03,Spain,1.0926315789473684
2020-02-04,Spain,1.155789473684211
2020-02-05,Spain,1.2336842105263155
2020-02-06,Spain,1.2673684210526317
2020-02-07,Spain,1.3199999999999998
2020-02-08,Spain,1.3642105263157895
2020-02-09,Spain,1.3768421052631579
2020-02-10,Spain,1.4610526315789476
2020-02-11,Spain,1.5157894736842106
2020-02-12,Spain,1.591578947368421
2020-02-13,Spain,1.747368421052632
2020-02-14,Spain,1.8399999999999999
2020-02-15,Spain,1.9326315789473678
2020-02-16,Spain,2.0610526315789475
2020-02-17,Spain,2.1978947368421053
2020-02-18,Spain,2.3578947368421055
2020-02-19,Spain,2.4442105263157896
2020-02-20,Spain,2.610526315789474
2020-02-21,Spain,2.7178947368421054
2020-02-22,Spain,2.79578947368421
2020-02-23,Spain,2.8842105263157896
2020-02-24,Spain,3.0442105263157897
2020-02-25,Spain,3.1978947368421053
2020-02-26,Spain,3.372631578947368
2020-02-27,Spain,3.4799999999999995
2020-02-28,Spain,3.6105263157894734
2020-02-29,Spain,3.717894736842105
2020-03-01,Spain,3.80421052631579
2020-03-02,Spain,3.96
2020-03-03,Spain,4.172631578947369
2020-03-04,Spain,4.374736842105262
2020-03-05,Spain,4.5200000000000005
2020-03-06,Spain,4.732631578947369
2020-03-07,Spain,4.892631578947368
2020-03-08,Spain,5.088421052631579
2020-03-09,Spain,5.305263157894737
2020-03-10,Spain,5.486315789473685
2020-03-11,Spain,5.6568421052631574
2020-03-12,Spain,5.882105263157895
2020-03-13,Spain,6.086315789473684
2020-03-14,Spain,6.282105263157894
2020-03-15,Spain,6.522105263157895
2020-03-16,Spain,6.738947368421053
2020-03-17,Spain,6.981052631578947
2020-03-18,Spain,7.183157894736842
2020-03-19,Spain,7.44421052631579
2020-03-20,Spain,7.6568421052631574
2020-03-21,Spain,7.892631578947368
2020-03-22,Spain,8.08421052631579
2020-03-23,Spain,8.378947368421054
2020-03-24,Spain,8.642105263157895
2020-03-25,Spain,8.922105263157896
2020-03-26,Spain,9.134736842105264
2020-03-27,Spain,9.412631578947368
2020-03-28,Spain,9.677894736842106
2020-03-29,Spain,9.997894736842106
2020-03-30,Spain,10.23157894736842
2020-03-31,Spain,10.530526315789475
2020-04-01,Spain,10.856842105263159
2020-04-02,Spain,11.113684210526316
2020-04-03,Spain,11.414736842105263
2020-04-04,Spain,11.68
2020-04-05,Spain,11.985263157894739
2020-04-06,Spain,12.303157894736845
2020-04-07,Spain,12.654736842105264
2020-04-08,Spain,12.972631578947368
2020-04-09,Spain,13.26315789473684
2020-04-10,Spain,13.597894736842104
2020-04-11,Spain,13.915789473684208
2020-04-12,Spain,14.269473684210528
2020-04-13,Spain,14.570526315789474
2020-04-14,Spain,14.934736842105263
2020-04-15,Spain,15.26315789473684
2020-04-16,Spain,15.593684210526314
2020-04-17,Spain,15.949473684210522
2020-04-18,Spain,16.256842105263157
2020-04-19,Spain,16.56421052631579
2020-04-20,Spain,16.905263157894737
2020-04-21,Spain,17.22736842105263
2020-04-22,Spain,17.553684210526317
2020-04-23,Spain,17.863157894736844
2020-04-24,Spain,18.176842105263155
2020-04-25,Spain,18.526315789473685
2020-04-26,Spain,18.90947368421053
2020-04-27,Spain,19.183157894736844
2020-04-28,Spain,19.549473684210522
2020-04-29,Spain,19.88842105263158
2020-04-30,Spain,20.242105263157892
2020-05-01,Spain,20.56
2020-05-02,Spain,20.846315789473685
2020-05-03,Spain,21.147368421052633
2020-05-04,Spain,21.42105263157895
2020-05-05,Spain,21.667368421052632
2020-05-06,Spain,21.962105263157895
2020-05-07,Spain,22.265263157894736
2020-05-08,Spain,22.54736842105263
2020-05-09,Spain,22.842105263157897
2020-05-10,Spain,23.07578947368421
2020-05-11,Spain,23.391578947368423
2020-05-12,Spain,23.663157894736845
2020-05-13,Spain,23.936842105263157
2020-05-14,Spain,24.229473684210525
2020-05-15,Spain,24.47578947368421
2020-05-16,Spain,24.818947368421053
2020-05-17,Spain,25.11578947368421
2020-05-18,Spain,25.406315789473684
2020-05-19,Spain,25.658947368421046
2020-05-20,Spain,25.8778947368421
2020-05-21,Spain,26.13263157894737
2020-05-22,Spain,26.34315789473684
2020-05-23,Spain,26.57894736842105
2020-05-24,Spain,26.810526315789474
2020-05-25,Spain,27.06947368421053
2020-05-26,Spain,27.29684210526316
2020-05-27,Spain,27.511578947368424
2020-05-28,Spain,27.76
2020-05-29,Spain,27.955789473684213
2020-05-30,Spain,28.13263157894737
2020-05-31,Spain,28.305263157894736
2020-06-01,Spain,28.536842105263162
2020-06-02,Spain,28.717894736842105
