date,total_deaths,excess_mortality_cumulative_absolute
2020-01-05,0.0,-1205.0
2020-01-06,0.0,
2020-01-07,0.0,
2020-01-08,0.0,
2020-01-09,0.0,
2020-01-10,0.0,
2020-01-11,0.0,
2020-01-12,0.0,-2144.0
2020-01-13,0.0,
2020-01-14,0.0,
2020-01-15,0.0,
2020-01-16,0.0,
2020-01-17,0.0,
2020-01-18,0.0,
2020-01-19,0.0,-2742.0
2020-01-20,0.0,
2020-01-21,0.0,
2020-01-22,0.0,
2020-01-23,0.0,
2020-01-24,0.0,
2020-01-25,0.0,
2020-01-26,0.0,-2968.8
2020-01-27,0.0,
2020-01-28,0.0,
2020-01-29,0.0,
2020-01-30,0.0,
2020-01-31,0.0,
2020-02-01,0.0,
2020-02-02,0.0,-3045.8
2020-02-03,0.0,
2020-02-04,0.0,
2020-02-05,0.0,
2020-02-06,0.0,
2020-02-07,0.0,
2020-02-08,0.0,
2020-02-09,0.0,-3624.6
2020-02-10,0.0,
2020-02-11,0.0,
2020-02-12,0.0,
2020-02-13,0.0,
2020-02-14,0.0,
2020-02-15,0.0,
2020-02-16,1.0,-4400.8
2020-02-17,1.0,
2020-02-18,1.0,
2020-02-19,1.0,
2020-02-20,1.0,
2020-02-21,1.0,
2020-02-22,1.0,
2020-02-23,1.0,-5397.2
2020-02-24,1.0,
2020-02-25,1.0,
2020-02-26,1.0,
2020-02-27,1.0,
2020-02-28,1.0,
2020-02-29,1.0,
2020-03-01,1.0,-6187.8
2020-03-02,1.0,
2020-03-03,1.0,
2020-03-04,1.0,
2020-03-05,1.0,
2020-03-06,1.0,
2020-03-07,1.0,
2020-03-08,25.0,-6590.8
2020-03-09,25.0,
2020-03-10,25.0,
2020-03-11,25.0,
2020-03-12,25.0,
2020-03-13,25.0,
2020-03-14,25.0,
2020-03-15,482.0,-5674.6
2020-03-16,482.0,
2020-03-17,482.0,
2020-03-18,482.0,
2020-03-19,482.0,
2020-03-20,482.0,
2020-03-21,482.0,
2020-03-22,2914.0,-1120.2
2020-03-23,2914.0,
2020-03-24,2914.0,
2020-03-25,2914.0,
2020-03-26,2914.0,
2020-03-27,2914.0,
2020-03-28,2914.0,
2020-03-29,8577.0,10383.4
2020-03-30,8577.0,
2020-03-31,8577.0,
2020-04-01,8577.0,
2020-04-02,8577.0,
2020-04-03,8577.0,
2020-04-04,8577.0,
2020-04-05,14418.0,23180.4
2020-04-06,14418.0,
2020-04-07,14418.0,
2020-04-08,14418.0,
2020-04-09,14418.0,
2020-04-10,14418.0,
2020-04-11,14418.0,
2020-04-12,19184.0,32465.8
2020-04-13,19184.0,
2020-04-14,19184.0,
2020-04-15,19184.0,
2020-04-16,19184.0,
2020-04-17,19184.0,
2020-04-18,19184.0,
2020-04-19,22760.0,37872.6
2020-04-20,22760.0,
2020-04-21,22760.0,
2020-04-22,22760.0,
2020-04-23,22760.0,
2020-04-24,22760.0,
2020-04-25,22760.0,
2020-04-26,25146.0,40589.8
2020-04-27,25146.0,
2020-04-28,25146.0,
2020-04-29,25146.0,
