date,location,positive_rate
2020-03-19,Poland,0.05
2020-03-20,Poland,0.05
2020-03-21,Poland,0.05
2020-03-22,Poland,0.06
2020-03-23,Poland,0.06
2020-03-24,Poland,0.06
2020-03-25,Poland,0.07
2020-03-26,Poland,0.06
2020-03-27,Poland,0.06
2020-03-28,Poland,0.06
2020-03-29,Poland,0.07
2020-03-30,Poland,0.06
2020-03-31,Poland,0.06
2020-04-01,Poland,0.06
2020-04-02,Poland,0.07
2020-04-03,Poland,0.07
2020-04-04,Poland,0.07
2020-04-05,Poland,0.07
2020-04-06,Poland,0.07
2020-04-07,Poland,0.07
2020-04-08,Poland,0.07
2020-04-09,Poland,0.07
2020-04-10,Poland,0.06
2020-04-11,Poland,0.06
2020-04-12,Poland,0.05
2020-04-13,Poland,0.05
2020-04-14,Poland,0.04
2020-04-15,Poland,0.04
2020-04-16,Poland,0.04
2020-04-17,Poland,0.04
2020-04-18,Poland,0.04
2020-04-19,Poland,0.04
2020-04-20,Poland,0.04
2020-04-21,Poland,0.04
2020-04-22,Poland,0.04
2020-04-23,Poland,0.04
2020-04-24,Poland,0.04
2020-04-25,Poland,0.03
2020-04-26,Poland,0.03
2020-04-27,Poland,0.03
2020-04-28,Poland,0.03
2020-04-29,Poland,0.03
2020-04-30,Poland,0.03
2020-05-01,Poland,0.03
2020-05-02,Poland,0.02
2020-05-03,Poland,0.02
2020-05-04,Poland,0.02
2020-05-05,Poland,0.03
2020-05-06,Poland,0.02
2020-05-07,Poland,0.03
2020-05-08,Poland,0.03
2020-05-09,Poland,0.03
2020-05-10,Poland,0.02
2020-05-11,Poland,0.02
2020-05-12,Poland,0.02
2020-05-13,Poland,0.02
2020-05-14,Poland,0.02
2020-05-15,Poland,0.02
2020-05-16,Poland,0.02
2020-05-17,Poland,0.02
2020-05-18,Poland,0.02
2020-05-19,Poland,0.02
2020-05-20,Poland,0.02
2020-05-21,Poland,0.02
2020-05-22,Poland,0.02
2020-05-23,Poland,0.02
2020-05-24,Poland,0.02
2020-05-25,Poland,0.02
2020-05-26,Poland,0.02
2020-05-27,Poland,0.02
2020-05-28,Poland,0.02
2020-05-29,Poland,0.02
2020-05-30,Poland,0.02
2020-05-31,Poland,0.02
2020-06-01,Poland,0.02
2020-06-02,Poland,0.02
2020-06-03,Poland,0.02
2020-06-04,Poland,0.02
2020-06-05,Poland,0.02
2020-06-06,Poland,0.02
2020-06-07,Poland,0.02
2020-06-08,Poland,0.02
2020-06-09,Poland,0.02
2020-06-10,Poland,0.02
2020-06-11,Poland,0.02
2020-06-12,Poland,0.02
2020-06-13,Poland,0.02
2020-06-14,Poland,0.02
2020-06-15,Poland,0.02
2020-06-16,Poland,0.02
2020-06-17,Poland,0.02
2020-06-18,Poland,0.02
2020-06-19,Poland,0.02
2020-06-20,Poland,0.02
2020-06-21,Poland,0.02
2020-06-22,Poland,0.02
2020-06-23,Poland,0.02
2020-06-24,Poland,0.02
2020-06-25,Poland,0.02
2020-06-26,Poland,0.01
2020-06-27,Poland,0.02
2020-06-28,Poland,0.01
2020-06-29,Poland,0.01
2020-06-30,Poland,0.01
2020-07-01,Poland,0.01
2020-07-02,Poland,0.02
2020-07-03,Poland,0.02
2020-07-04,Poland,0.02
2020-07-05,Poland,0.02
2020-07-06,Poland,0.02
2020-07-07,Poland,0.02
2020-07-08,Poland,0.01
2020-07-09,Poland,0.01
2020-07-10,Poland,0.01
2020-07-11,Poland,0.01
2020-07-12,Poland,0.02
2020-07-13,Poland,0.02
2020-07-14,Poland,0.02
2020-07-15,Poland,0.02
2020-07-16,Poland,0.02
2020-07-17,Poland,0.02
2020-07-18,Poland,0.02
2020-07-19,Poland,0.02
2020-07-20,Poland,0.02
2020-07-21,Poland,0.02
2020-07-22,Poland,0.02
2020-07-23,Poland,0.02
2020-07-24,Poland,0.02
2020-07-25,Poland,0.02
2020-07-26,Poland,0.02
2020-07-27,Poland,0.02
2020-07-28,Poland,0.03
2020-07-29,Poland,0.03
2020-07-30,Poland,0.03
2020-07-31,Poland,0.03
2020-08-01,Poland,0.03
2020-08-02,Poland,0.03
2020-08-03,Poland,0.03
2020-08-04,Poland,0.03
2020-08-05,Poland,0.03
2020-08-06,Poland,0.03
2020-08-07,Poland,0.03
2020-08-08,Poland,0.03
2020-08-09,Poland,0.03
2020-08-10,Poland,0.03
2020-08-11,Poland,0.03
2020-08-12,Poland,0.03
2020-08-13,Poland,0.03
2020-08-14,Poland,0.03
2020-08-15,Poland,0.03
2020-08-16,Poland,0.03
2020-08-17,Poland,0.03
2020-08-18,Poland,0.03
2020-08-19,Poland,0.03
2020-08-20,Poland,0.03
2020-08-21,Poland,0.03
2020-08-22,Poland,0.03
2020-08-23,Poland,0.03
2020-08-24,Poland,0.03
2020-08-25,Poland,0.03
2020-08-26,Poland,0.03
2020-08-27,Poland,0.03
2020-08-28,Poland,0.03
2020-08-29,Poland,0.03
2020-08-30,Poland,0.03
2020-08-31,Poland,0.03
2020-09-01,Poland,0.03
2020-09-02,Poland,0.03
2020-09-03,Poland,0.03
2020-09-04,Poland,0.03
2020-09-05,Poland,0.03
2020-09-06,Poland,0.02
2020-09-07,Poland,0.02
2020-09-08,Poland,0.02
2020-09-09,Poland,0.02
2020-09-10,Poland,0.02
2020-09-11,Poland,0.02
2020-09-12,Poland,0.02
2020-09-13,Poland,0.02
2020-09-14,Poland,0.02
2020-09-15,Poland,0.03
2020-09-16,Poland,0.03
2020-09-17,Poland,0.03
2020-09-18,Poland,0.03
2020-09-19,Poland,0.04
2020-09-20,Poland,0.04
2020-09-21,Poland,0.04
2020-09-22,Poland,0.04
2020-09-23,Poland,0.04
2020-09-24,Poland,0.05
2020-09-25,Poland,0.05
2020-09-26,Poland,0.06
2020-09-27,Poland,0.06
2020-09-28,Poland,0.06
2020-09-29,Poland,0.06
2020-09-30,Poland,0.07
2020-10-01,Poland,0.07
2020-10-02,Poland,0.07
2020-10-03,Poland,0.08
2020-10-04,Poland,0.08
2020-10-05,Poland,0.08
2020-10-06,Poland,0.08
2020-10-07,Poland,0.09
2020-10-08,Poland,0.1
2020-10-09,Poland,0.11
2020-10-10,Poland,0.12
2020-10-11,Poland,0.13
2020-10-12,Poland,0.13
2020-10-13,Poland,0.14
2020-10-14,Poland,0.15
2020-10-15,Poland,0.16
2020-10-16,Poland,0.17
2020-10-17,Poland,0.18
2020-10-18,Poland,0.19
2020-10-19,Poland,0.19
2020-10-20,Poland,0.2
2020-10-21,Poland,0.21
2020-10-22,Poland,0.21
2020-10-23,Poland,0.22
2020-10-24,Poland,0.23
2020-10-25,Poland,0.23
2020-10-26,Poland,0.24
2020-10-27,Poland,0.25
2020-10-28,Poland,0.27
2020-10-29,Poland,0.29
2020-10-30,Poland,0.3
2020-10-31,Poland,0.31
2020-11-01,Poland,0.31
2020-11-02,Poland,0.31
2020-11-03,Poland,0.31
2020-11-04,Poland,0.31
2020-11-05,Poland,0.32
2020-11-06,Poland,0.33
2020-11-07,Poland,0.35
2020-11-08,Poland,0.37
2020-11-09,Poland,0.38
2020-11-10,Poland,0.4
2020-11-11,Poland,0.4
2020-11-12,Poland,0.39
2020-11-13,Poland,0.39
2020-11-14,Poland,0.39
2020-11-15,Poland,0.4
2020-11-16,Poland,0.4
2020-11-17,Poland,0.4
2020-11-18,Poland,0.39
2020-11-19,Poland,0.4
2020-11-20,Poland,0.4
2020-11-21,Poland,0.4
2020-11-22,Poland,0.39
2020-11-23,Poland,0.37
2020-11-24,Poland,0.41
2020-11-25,Poland,0.4
2020-11-26,Poland,0.38
2020-11-27,Poland,0.37
2020-11-28,Poland,0.35
2020-11-29,Poland,0.34
2020-11-30,Poland,0.32
2020-12-01,Poland,0.26
2020-12-02,Poland,0.26
2020-12-03,Poland,0.25
2020-12-04,Poland,0.24
2020-12-05,Poland,0.23
2020-12-06,Poland,0.23
2020-12-07,Poland,0.22
2020-12-08,Poland,0.22
2020-12-09,Poland,0.22
2020-12-10,Poland,0.21
2020-12-11,Poland,0.22
2020-12-12,Poland,0.21
2020-12-13,Poland,0.21
2020-12-14,Poland,0.22
2020-12-15,Poland,0.21
2020-12-16,Poland,0.22
2020-12-17,Poland,0.21
2020-12-18,Poland,0.21
2020-12-19,Poland,0.21
2020-12-20,Poland,0.21
2020-12-21,Poland,0.21
2020-12-22,Poland,0.21
2020-12-23,Poland,0.21
2020-12-24,Poland,0.22
2020-12-25,Poland,0.22
2020-12-26,Poland,0.21
2020-12-27,Poland,0.2
2020-12-28,Poland,0.2
2020-12-29,Poland,0.21
2020-12-30,Poland,0.22
2020-12-31,Poland,0.23
2021-01-01,Poland,0.23
2021-01-02,Poland,0.23
2021-01-03,Poland,0.24
2021-01-04,Poland,0.23
2021-01-05,Poland,0.23
2021-01-06,Poland,0.23
2021-01-07,Poland,0.22
2021-01-08,Poland,0.17
2021-01-09,Poland,0.15
2021-01-10,Poland,0.14
2021-01-11,Poland,0.12
2021-01-12,Poland,0.1
2021-01-13,Poland,0.09
2021-01-14,Poland,0.08
2021-01-15,Poland,0.08
2021-01-16,Poland,0.09
2021-01-17,Poland,0.09
2021-01-18,Poland,0.1
2021-01-19,Poland,0.11
2021-01-20,Poland,0.13
2021-01-21,Poland,0.15
2021-01-22,Poland,0.15
2021-01-23,Poland,0.15
2021-01-24,Poland,0.15
2021-01-25,Poland,0.15
2021-01-26,Poland,0.16
2021-01-27,Poland,0.16
2021-01-28,Poland,0.17
2021-01-29,Poland,0.16
2021-01-30,Poland,0.15
2021-01-31,Poland,0.15
2021-02-01,Poland,0.15
2021-02-02,Poland,0.14
2021-02-03,Poland,0.14
2021-02-04,Poland,0.14
2021-02-05,Poland,0.13
2021-02-06,Poland,0.13
2021-02-07,Poland,0.13
2021-02-08,Poland,0.13
2021-02-09,Poland,0.12
2021-02-10,Poland,0.12
2021-02-11,Poland,0.12
2021-02-12,Poland,0.12
2021-02-13,Poland,0.12
2021-02-14,Poland,0.13
2021-02-15,Poland,0.12
2021-02-16,Poland,0.13
2021-02-17,Poland,0.13
2021-02-18,Poland,0.14
2021-02-19,Poland,0.14
2021-02-20,Poland,0.15
2021-02-21,Poland,0.15
2021-02-22,Poland,0.15
2021-02-23,Poland,0.16
2021-02-24,Poland,0.16
2021-02-25,Poland,0.17
2021-02-26,Poland,0.18
2021-02-27,Poland,0.18
2021-02-28,Poland,0.19
2021-03-01,Poland,0.19
2021-03-02,Poland,0.19
2021-03-03,Poland,0.2
2021-03-04,Poland,0.2
2021-03-05,Poland,0.21
2021-03-06,Poland,0.21
2021-03-07,Poland,0.21
2021-03-08,Poland,0.21
2021-03-09,Poland,0.21
2021-03-10,Poland,0.21
2021-03-11,Poland,0.22
2021-03-12,Poland,0.22
2021-03-13,Poland,0.23
2021-03-14,Poland,0.23
2021-03-15,Poland,0.24
2021-03-16,Poland,0.24
2021-03-17,Poland,0.25
2021-03-18,Poland,0.26
2021-03-19,Poland,0.27
2021-03-20,Poland,0.27
2021-03-21,Poland,0.27
2021-03-22,Poland,0.27
2021-03-23,Poland,0.27
2021-03-24,Poland,0.27
2021-03-25,Poland,0.27
2021-03-26,Poland,0.29
2021-03-27,Poland,0.3
2021-03-28,Poland,0.31
2021-03-29,Poland,0.32
2021-03-30,Poland,0.33
2021-03-31,Poland,0.33
2021-04-01,Poland,0.34
2021-04-02,Poland,0.33
2021-04-03,Poland,0.32
2021-04-04,Poland,0.31
2021-04-05,Poland,0.3
2021-04-06,Poland,0.28
2021-04-07,Poland,0.25
2021-04-08,Poland,0.23
2021-04-09,Poland,0.23
2021-04-10,Poland,0.23
2021-04-11,Poland,0.23
2021-04-12,Poland,0.24
2021-04-13,Poland,0.25
2021-04-14,Poland,0.27
2021-04-15,Poland,0.26
2021-04-16,Poland,0.25
2021-04-17,Poland,0.24
2021-04-18,Poland,0.22
2021-04-19,Poland,0.22
2021-04-20,Poland,0.22
2021-04-21,Poland,0.21
2021-04-22,Poland,0.2
2021-04-23,Poland,0.19
2021-04-24,Poland,0.18
2021-04-25,Poland,0.17
2021-04-26,Poland,0.16
2021-04-27,Poland,0.15
2021-04-28,Poland,0.14
2021-04-29,Poland,0.13
2021-04-30,Poland,0.13
2021-05-01,Poland,0.12
2021-05-02,Poland,0.11
2021-05-03,Poland,0.11
2021-05-04,Poland,0.11
2021-05-05,Poland,0.09
2021-05-06,Poland,0.09
2021-05-07,Poland,0.09
2021-05-08,Poland,0.08
2021-05-09,Poland,0.08
2021-05-10,Poland,0.08
2021-05-11,Poland,0.08
2021-05-12,Poland,0.08
2021-05-13,Poland,0.07
2021-05-14,Poland,0.06
2021-05-15,Poland,0.06
2021-05-16,Poland,0.06
2021-05-17,Poland,0.05
2021-05-18,Poland,0.05
2021-05-19,Poland,0.05
2021-05-20,Poland,0.04
2021-05-21,Poland,0.04
2021-05-22,Poland,0.03
2021-05-23,Poland,0.03
2021-05-24,Poland,0.03
2021-05-25,Poland,0.03
2021-05-26,Poland,0.02
2021-05-27,Poland,0.02
2021-05-28,Poland,0.02
2021-05-29,Poland,0.02
2021-05-30,Poland,0.02
2021-05-31,Poland,0.02
2021-06-01,Poland,0.02
2021-06-02,Poland,0.02
2021-06-03,Poland,0.01
2021-06-04,Poland,0.01
2021-06-05,Poland,0.01
2021-06-06,Poland,0.01
2021-06-07,Poland,0.01
2021-06-08,Poland,0.01
2021-06-09,Poland,0.01
2021-06-10,Poland,0.01
2021-06-11,Poland,0.01
2021-06-12,Poland,0.01
2021-06-13,Poland,0.01
2021-06-14,Poland,0.01
2021-06-15,Poland,0.01
2021-06-16,Poland,0.01
2021-06-17,Poland,0.0
2021-06-18,Poland,0.0
2021-06-19,Poland,0.0
2021-06-20,Poland,0.0
2021-06-21,Poland,0.0
2021-06-22,Poland,0.0
2021-06-23,Poland,0.0
2021-06-24,Poland,0.0
2021-06-25,Poland,0.0
2021-06-26,Poland,0.0
2021-06-27,Poland,0.0
2021-06-28,Poland,0.0
2021-06-29,Poland,0.0
2021-06-30,Poland,0.0
2021-07-01,Poland,0.0
2021-07-02,Poland,0.0
2021-07-03,Poland,0.0
2021-07-04,Poland,0.0
2021-07-05,Poland,0.0
2021-07-06,Poland,0.0
2021-07-07,Poland,0.0
2021-07-08,Poland,0.0
2021-07-09,Poland,0.0
2021-07-10,Poland,0.0
2021-07-11,Poland,0.0
2021-07-12,Poland,0.0
2021-07-13,Poland,0.0
2021-07-14,Poland,0.0
2021-07-15,Poland,0.0
2021-07-16,Poland,0.0
2021-07-17,Poland,0.0
2021-07-18,Poland,0.0
2021-07-19,Poland,0.0
2021-07-20,Poland,0.0
2021-07-21,Poland,0.0
2021-07-22,Poland,0.0
2021-07-23,Poland,0.0
2021-07-24,Poland,0.0
2021-07-25,Poland,0.0
2021-07-26,Poland,0.0
2021-07-27,Poland,0.0
2021-07-28,Poland,0.0
2021-07-29,Poland,0.0
2021-07-30,Poland,0.0
2021-07-31,Poland,0.0
2021-08-01,Poland,0.0
2021-08-02,Poland,0.0
2021-08-03,Poland,0.0
2021-08-04,Poland,0.0
2021-08-05,Poland,0.0
2021-08-06,Poland,0.0
2021-08-07,Poland,0.0
