date,age_group,coverage
2020-12-28,18-24,0.055413141954499
2020-12-28,50-59,0.20456633334490718
2020-12-28,80+,1.3007367627733466
2020-12-28,70-79,0.21141271538755818
2020-12-28,60-69,0.16197083993829176
2020-12-28,25-49,0.15237507588201463
2021-01-04,18-24,0.2836108001622478
2021-01-04,50-59,1.0030224302253536
2021-01-04,80+,4.621527706726589
2021-01-04,25-49,0.8307615336921133
2021-01-04,60-69,0.7648209956692715
2021-01-04,70-79,0.6896658001101704
2021-01-11,25-49,2.2356886645114598
2021-01-11,50-59,2.6451002365350105
2021-01-11,18-24,0.7270039863415998
2021-01-11,60-69,1.9460752164257904
2021-01-11,70-79,1.057088037508818
2021-01-11,80+,6.912314374313501
2021-01-18,50-59,3.542256684268575
2021-01-18,60-69,2.580664576092219
2021-01-18,18-24,1.0013988296321776
2021-01-18,70-79,1.1853348114041051
2021-01-18,80+,7.663227654251793
2021-01-18,25-49,2.9639065981562855
2021-01-25,80+,7.95799519229602
2021-01-25,70-79,1.2394171339451086
2021-01-25,25-49,3.2087305344238732
2021-01-25,60-69,2.787473901010149
2021-01-25,50-59,3.845744700717988
2021-01-25,18-24,1.1142209258573335
2021-02-01,50-59,4.071904761838889
2021-02-01,80+,8.250889869173712
2021-02-01,60-69,2.9428596969640646
2021-02-01,25-49,3.41670461806593
2021-02-01,18-24,1.2385482930815166
2021-02-01,70-79,1.2939397467646
2021-02-08,50-59,4.664535698194662
2021-02-08,60-69,3.3033908551086753
2021-02-08,25-49,4.026279743629776
2021-02-08,18-24,1.5050772878319432
2021-02-08,80+,8.876078672654735
2021-02-08,70-79,1.3796251270726665
2021-02-15,18-24,2.0282149161142473
2021-02-15,50-59,5.533167952030661
2021-02-15,60-69,3.796242453530743
2021-02-15,25-49,4.8979190495406675
2021-02-15,80+,14.09373115216685
2021-02-15,70-79,1.6124653026799982
2021-02-22,25-49,6.359261995344075
2021-02-22,50-59,6.64911133026078
2021-02-22,18-24,2.6513779616534014
2021-02-22,80+,25.192896029499646
2021-02-22,70-79,2.104807676314242
2021-02-22,60-69,4.313787966894223
2021-03-01,70-79,2.6055889469528486
2021-03-01,80+,38.63195815611963
2021-03-01,60-69,4.660883511102968
2021-03-01,25-49,7.947428291807935
2021-03-01,18-24,3.137240859913346
2021-03-01,50-59,7.724495573424138
2021-03-08,18-24,3.7290285618352548
2021-03-08,60-69,4.835882825160887
2021-03-08,70-79,2.9113950059341343
2021-03-08,80+,47.724595071808615
2021-03-08,25-49,9.33272087340261
2021-03-08,50-59,8.950897578362337
2021-03-15,18-24,3.885435677023563
2021-03-15,60-69,4.940659371783263
2021-03-15,80+,54.04619516115103
2021-03-15,70-79,3.0807110785839873
2021-03-15,50-59,9.158991394463733
2021-03-15,25-49,9.565966099632025
2021-03-22,25-49,10.658654639938906
2021-03-22,60-69,7.6595213628916845
2021-03-22,70-79,3.408971941768186
2021-03-22,18-24,4.585496197097032
2021-03-22,80+,63.77931591318109
2021-03-22,50-59,10.676237810990834
2021-03-29,18-24,4.947677432117434
2021-03-29,70-79,4.943408022871612
2021-03-29,80+,78.73227414941756
2021-03-29,50-59,11.600244627470847
2021-03-29,60-69,13.990651715784544
2021-03-29,25-49,11.29738541878143
2021-04-05,18-24,5.243087005089908
2021-04-05,25-49,11.607728517720602
2021-04-05,70-79,19.206171304227862
2021-04-05,80+,93.72161444794469
2021-04-05,60-69,25.54209338902298
2021-04-05,50-59,12.112891621481458
2021-04-12,60-69,35.61066104459686
2021-04-12,70-79,43.027367465288
2021-04-12,25-49,11.76458668058024
2021-04-12,80+,97.3461557270187
2021-04-12,50-59,12.40415103104171
2021-04-12,18-24,5.336391230870285
2021-04-19,70-79,63.62392654784047
2021-04-19,18-24,5.439527767325853
2021-04-19,25-49,11.95167918106783
2021-04-19,50-59,12.75209916348859
2021-04-19,80+,98.74268587019893
2021-04-19,60-69,43.242284479210646
2021-04-26,80+,99.52366897664439
2021-04-26,50-59,13.08348887687854
2021-04-26,60-69,52.92300720548966
2021-04-26,70-79,81.70855620990301
2021-04-26,25-49,12.134993168748133
2021-04-26,18-24,5.565586795236113
2021-05-03,60-69,71.09850747853886
2021-05-03,50-59,15.520647463234985
2021-05-03,70-79,90.26941362140711
2021-05-03,25-49,12.410706135456815
2021-05-03,80+,100.0
2021-05-03,18-24,5.7840988936742725
2021-05-10,60-69,80.25566610286653
2021-05-10,25-49,12.897305010033635
2021-05-10,70-79,92.86903418902934
2021-05-10,50-59,26.631318983902368
2021-05-10,80+,100.0
2021-05-10,18-24,6.091307239456975
2021-05-17,50-59,42.56656325378329
2021-05-17,18-24,6.498775803945486
2021-05-17,80+,100.0
2021-05-17,70-79,93.99023338320028
2021-05-17,60-69,83.37931357997155
2021-05-17,25-49,13.428853222610021
2021-05-24,25-49,13.901778370146605
2021-05-24,18-24,6.7412670003586594
2021-05-24,50-59,57.68027753957663
2021-05-24,70-79,94.63591907660366
2021-05-24,60-69,85.027627976878
2021-05-24,80+,100.0
2021-05-31,25-49,15.761791828136776
2021-05-31,80+,100.0
2021-05-31,60-69,86.26467805419031
2021-05-31,50-59,73.8685184060592
2021-05-31,18-24,7.024173396174027
2021-05-31,70-79,94.9903527507869
2021-06-07,80+,100.0
2021-06-07,60-69,87.37314275649587
2021-06-07,18-24,7.319700369870982
2021-06-07,70-79,95.25112689850722
2021-06-07,50-59,81.8204190345183
2021-06-07,25-49,23.016386774057903
2021-06-14,70-79,95.43321138923324
2021-06-14,18-24,7.644606874869026
2021-06-14,50-59,84.59602229977766
2021-06-14,80+,100.0
2021-06-14,60-69,88.40315338638543
2021-06-14,25-49,32.59967417497482
2021-06-21,18-24,8.070448652738635
2021-06-21,25-49,41.74076957955503
2021-06-21,80+,100.0
2021-06-21,60-69,89.06461397392358
2021-06-21,70-79,95.56013729229306
2021-06-21,50-59,85.95379882918006
2021-06-28,60-69,89.73071241502063
2021-06-28,80+,100.0
2021-06-28,50-59,87.14261585117951
2021-06-28,70-79,95.69804599174407
2021-06-28,25-49,51.26066401065067
2021-06-28,18-24,9.379877633224874
2021-07-05,50-59,87.94981457198978
2021-07-05,25-49,58.735535029931306
2021-07-05,70-79,95.79674439583857
2021-07-05,18-24,13.252135078925573
2021-07-05,80+,100.0
2021-07-05,60-69,90.28544926551092
2021-07-12,18-24,19.53248683497626
2021-07-12,70-79,95.88282114528307
2021-07-12,60-69,90.80186186808139
2021-07-12,25-49,65.44614883499597
2021-07-12,50-59,88.60479203690826
2021-07-12,80+,100.0
2021-07-19,80+,100.0
2021-07-19,18-24,28.974381400907625
2021-07-19,60-69,91.21266594266586
2021-07-19,25-49,71.04208265640175
2021-07-19,70-79,95.962073395411
2021-07-19,50-59,89.21370472700673
2021-07-26,50-59,89.65941254823832
2021-07-26,25-49,75.59475412730819
2021-07-26,18-24,41.769504809614176
2021-07-26,80+,100.0
2021-07-26,60-69,91.55381370521131
2021-07-26,70-79,96.03115004799164
2021-08-02,50-59,90.1018972185591
2021-08-02,70-79,96.10012885828817
2021-08-02,60-69,91.90115707365601
2021-08-02,18-24,53.47658765402241
2021-08-02,80+,100.0
2021-08-02,25-49,78.66328687217454
2021-08-09,60-69,92.2196289186101
2021-08-09,80+,100.0
2021-08-09,18-24,65.31052198123115
2021-08-09,25-49,80.48690564492354
2021-08-09,70-79,96.16759111318102
2021-08-09,50-59,90.54060540734056
2021-08-16,25-49,81.73733774218023
2021-08-16,60-69,92.57858462268318
2021-08-16,18-24,69.8163911369497
2021-08-16,70-79,96.24026346970265
