date,variant,perc
2020-04-27,Alpha,0.0
2020-04-27,Delta,0.0
2020-04-27,Omicron,0.0
2020-04-27,Other,0.0
2020-05-11,Alpha,0.0
2020-05-11,Delta,0.0
2020-05-11,Omicron,0.0
2020-05-11,Other,0.0
2020-05-25,Alpha,0.0
2020-05-25,Delta,0.0
2020-05-25,Omicron,0.0
2020-05-25,Other,0.0
2020-06-08,Alpha,0.0
2020-06-08,Delta,0.0
2020-06-08,Omicron,0.0
2020-06-08,Other,0.1323529411764706
2020-06-22,Alpha,0.0
2020-06-22,Delta,0.0
2020-06-22,Omicron,0.0
2020-06-22,Other,0.4069767441860465
2020-07-06,Alpha,0.0
2020-07-06,Delta,0.0
2020-07-06,Omicron,0.0
2020-07-06,Other,0.4449760765550239
2020-07-20,Alpha,0.0
2020-07-20,Delta,0.0
2020-07-20,Omicron,0.0
2020-07-20,Other,0.6683937823834197
2020-08-03,Alpha,0.0
2020-08-03,Delta,0.0
2020-08-03,Omicron,0.0
2020-08-03,Other,0.8333333333333334
2020-08-17,Alpha,0.0
2020-08-17,Delta,0.0
2020-08-17,Omicron,0.0
2020-08-17,Other,0.9294403892944039
2020-08-31,Alpha,0.0
2020-08-31,Delta,0.0
2020-08-31,Omicron,0.0
2020-08-31,Other,0.9392624728850325
2020-09-14,Alpha,0.0
2020-09-14,Delta,0.0
2020-09-14,Omicron,0.0
2020-09-14,Other,0.8243801652892562
2020-09-28,Alpha,0.0
2020-09-28,Delta,0.0
2020-09-28,Omicron,0.0
2020-09-28,Other,0.9333333333333333
2020-10-12,Alpha,0.005988023952095809
2020-10-12,Delta,0.0
2020-10-12,Omicron,0.0
2020-10-12,Other,0.9281437125748503
2020-10-26,Alpha,0.02320185614849188
2020-10-26,Delta,0.0
2020-10-26,Omicron,0.0
2020-10-26,Other,0.9187935034802784
2020-11-09,Alpha,0.006535947712418301
2020-11-09,Delta,0.004357298474945534
2020-11-09,Omicron,0.0
2020-11-09,Other,0.9411764705882353
2020-11-23,Alpha,0.0019723865877712033
2020-11-23,Delta,0.0
2020-11-23,Omicron,0.0
2020-11-23,Other,0.9467455621301775
2020-12-07,Alpha,0.007964601769911504
2020-12-07,Delta,0.0008849557522123894
2020-12-07,Omicron,0.0
2020-12-07,Other,0.9203539823008849
2020-12-21,Alpha,0.13772090188909203
2020-12-21,Delta,0.0
2020-12-21,Omicron,0.0
2020-12-21,Other,0.7714808043875686
2021-01-04,Alpha,0.3855709507883421
2021-01-04,Delta,0.0023889154323936935
2021-01-04,Omicron,0.0
