date,country,unemployment_rate
2019-01-01,Spain,14.3
2019-01-01,Poland,3.7
2019-02-01,Spain,14.2
2019-02-01,Poland,3.6
2019-03-01,Spain,14.2
2019-03-01,Poland,3.5
2019-04-01,Spain,14.2
2019-04-01,Poland,3.4
2019-05-01,Spain,14.3
2019-05-01,Poland,3.3
2019-06-01,Spain,14.2
2019-06-01,Poland,3.2
2019-07-01,Spain,14.2
2019-07-01,Poland,3.2
2019-08-01,Spain,14.1
2019-08-01,Poland,3.1
2019-09-01,Spain,14.0
2019-09-01,Poland,3.1
2019-10-01,Poland,3.0
2019-10-01,Spain,14.0
2019-11-01,Poland,3.0
2019-11-01,Spain,13.9
2019-12-01,Spain,13.8
2019-12-01,Poland,2.9
2020-01-01,Spain,13.8
2020-01-01,Poland,2.9
2020-02-01,Poland,2.8
2020-02-01,Spain,13.6
2020-03-01,Poland,2.9
2020-03-01,Spain,14.5
2020-04-01,Poland,3.1
2020-04-01,Spain,15.3
2020-05-01,Poland,3.3
2020-05-01,Spain,15.5
2020-06-01,Spain,16.0
2020-06-01,Poland,3.4
2020-07-01,Poland,3.4
2020-07-01,Spain,16.2
2020-08-01,Poland,3.4
2020-08-01,Spain,16.5
2020-09-01,Poland,3.3
2020-09-01,Spain,16.4
2020-10-01,Poland,3.2
2020-10-01,Spain,16.3
2020-11-01,Spain,16.2
2020-11-01,Poland,3.2
2020-12-01,Spain,16.2
2020-12-01,Poland,3.3
2021-01-01,Poland,3.6
2021-01-01,Spain,15.9
2021-02-01,Spain,15.7
2021-02-01,Poland,3.8
2021-03-01,Spain,15.5
2021-03-01,Poland,3.9
2021-04-01,Spain,15.7
2021-04-01,Poland,3.8
2021-05-01,Poland,3.7
2021-05-01,Spain,15.7
2021-06-01,Poland,3.5
2021-06-01,Spain,15.6
2021-07-01,Poland,3.3
2021-07-01,Spain,15.2
2021-08-01,Poland,3.1
2021-08-01,Spain,14.8
2021-09-01,Poland,3.0
2021-09-01,Spain,14.4
2021-10-01,Poland,3.0
2021-10-01,Spain,13.9
2021-11-01,Poland,3.0
2021-11-01,Spain,13.5
2021-12-01,Poland,2.9
2021-12-01,Spain,13.3
2022-01-01,Poland,2.9
2022-01-01,Spain,13.3
2022-02-01,Poland,2.8
2022-02-01,Spain,13.2
2022-03-01,Spain,13.3
2022-03-01,Poland,2.8
2022-04-01,Spain,13.2
2022-04-01,Poland,2.8
2022-05-01,Poland,2.8
2022-05-01,Spain,12.9
2022-06-01,Poland,2.8
2022-06-01,Spain,12.9
2022-07-01,Spain,12.7
2022-07-01,Poland,2.9
2022-08-01,Spain,12.8
2022-08-01,Poland,3.0
2022-09-01,Spain,13.0
2022-09-01,Poland,3.0
2022-10-01,Poland,3.0
2022-10-01,Spain,13.1
2022-11-01,Spain,13.2
2022-11-01,Poland,2.9
2022-12-01,Poland,2.8
2022-12-01,Spain,13.2
2023-01-01,Spain,13.1
2023-01-01,Poland,2.7
2023-02-01,Poland,2.6
2023-02-01,Spain,12.9
2023-03-01,Spain,12.5
2023-03-01,Poland,2.7
2023-04-01,Poland,2.7
2023-04-01,Spain,12.1
2023-05-01,Poland,2.8
2023-05-01,Spain,12.0
2023-06-01,Poland,2.8
2023-06-01,Spain,11.9
2023-07-01,Spain,12.0
2023-07-01,Poland,2.8
2023-08-01,Poland,2.8
2023-08-01,Spain,12.0
2023-09-01,Poland,2.9
2023-09-01,Spain,12.0
2023-10-01,Poland,3.1
2023-10-01,Spain,12.0
2023-11-01,Spain,12.0
2023-11-01,Poland,3.1
2023-12-01,Poland,3.1
2023-12-01,Spain,11.9
2024-01-01,Poland,3.0
2024-01-01,Spain,11.9
2024-02-01,Poland,2.9
2024-02-01,Spain,11.8
2024-03-01,Poland,2.8
2024-03-01,Spain,11.6
2024-04-01,Poland,2.8
2024-04-01,Spain,11.6
2024-05-01,Poland,2.9
2024-05-01,Spain,11.6
2024-06-01,Poland,2.9
2024-06-01,Spain,11.5
2024-07-01,Spain,11.4
2024-07-01,Poland,3.0
2024-08-01,Poland,3.0
2024-08-01,Spain,11.3
2024-09-01,Poland,3.0
2024-09-01,Spain,11.1
2024-10-01,Poland,2.8
2024-10-01,Spain,10.9
2024-11-01,Poland,2.8
2024-11-01,Spain,10.8
2024-12-01,Spain,10.8
2024-12-01,Poland,2.9
