comunidad_autonoma,gdp_change_2020_pct
Balearic Islands,-22.362054811269672
Canary Islands,-17.871907146665265
Catalonia,-10.537886743241543
Basque Country,-9.901891891891879
Asturias,-9.676928667404683
Andalusia,-9.626336582397643
Madrid,-9.359775373591471
Navarre,-9.062993882384207
Valencian Community,-9.024303426152668
Cantabria,-8.989519699602077
Galicia,-8.518805618430436
Castile and Leon,-8.138583585362413
La Rioja,-7.908886389201353
Extremadura,-7.884305564085969
Murcia,-7.758623301929957
Castile-La Mancha,-7.233605187897673
Aragon,-6.524095868722557
