date,prediction,ci_lower,ci_upper,actual
2023-01-01,44701.90147951325,8476.230081177953,77586.9997802481,2117.57
2023-01-02,47127.104544621354,13712.491332094143,81279.2229056052,2117.57
2023-01-03,49488.73472007338,15448.799961420571,81725.04847619313,2117.57
2023-01-04,51765.243661632216,18303.887923359325,84339.22650148517,2117.57
2023-01-05,53935.93849828688,22633.635122792308,86101.74990087825,2117.57
2023-01-06,55643.11684383299,23230.05757700001,89678.1033987809,2117.57
2023-01-07,57536.448345410354,25746.774378029735,89972.2605998573,2117.57
2023-01-08,59555.733061863895,26512.575653588006,91745.41251721194,1809.0
2023-01-09,61133.57581154629,28933.17408628295,94341.82420202048,1809.0
2023-01-10,62525.84473638183,29028.841049728166,97577.02486491221,1809.0
2023-01-11,63722.336328508216,31435.016883941746,96234.1942626284,1809.0
2023-01-12,64715.19856751809,32888.82756632258,96625.25286845893,1809.0
2023-01-13,65160.82086893972,34083.55112935158,98763.34134873972,1809.0
2023-01-14,65723.94951868146,32218.841238192497,99601.72939136285,1809.0
2023-01-15,66360.16503576278,32464.96535513892,96063.3063636475,1708.57
2023-01-16,66518.26702391982,34600.294842652176,100643.0169611799,1708.57
2023-01-17,66470.44128927488,34951.80718624552,98441.85146706189,1708.57
2023-01-18,66222.63794678901,32918.24942559142,99635.60640495169,1708.57
2023-01-19,65782.71842568963,33152.54786535374,98456.95782373933,1708.57
2023-01-20,64822.08596912782,31322.638606543966,95948.1417769518,1708.57
2023-01-21,64019.56368774722,32330.966593263747,97430.75186049548,1708.57
2023-01-22,63343.661357576144,31962.870115718422,96870.36782123466,1068.57
2023-01-23,62254.78052479176,28887.21850025208,94158.53327074005,1068.57
2023-01-24,61035.2358620726,28750.043325116323,94474.86283446006,1068.57
2023-01-25,59699.52376662084,25196.965183221873,93510.34228263443,1068.57
2023-01-26,58262.39743660514,26368.889314291326,91641.95152136662,1068.57
2023-01-27,56400.46339094982,25025.198835459287,90161.17476511443,1068.57
2023-01-28,54796.06291476106,22564.813793447312,84668.58692102406,1068.57
2023-01-29,53419.57813089396,21689.90784744019,85337.90041273477,826.71
2023-01-30,51731.70991590296,16651.22580341857,84332.60556188278,826.71
2023-01-31,50013.602486222444,16843.691446897952,81901.54568083353,826.71
2023-02-01,48277.241850660495,13258.425917890341,81827.66354199949,826.71
2023-02-02,46533.683012197216,14107.236000045074,77979.41439740457,826.71
2023-02-03,44454.81609925788,12254.661782977413,76358.24007844756,826.71
2023-02-04,42717.42983077321,10666.576472502707,76114.41158710518,826.71
2023-02-05,41285.706787705756,7483.467220846439,71583.61321069945,814.14
2023-02-06,39613.69247621956,7980.060918393798,73022.41304538648,814.14
2023-02-07,37975.607912039806,5165.636858891319,70849.06288834922,814.14
2023-02-08,36376.428098218006,3205.936023997588,67799.45704221663,814.14
2023-02-09,34820.27685292044,1047.6443468210307,67186.22830059321,814.14
2023-02-10,32972.344250564056,0.0,67718.34806613372,814.14
2023-02-11,31503.08176855254,0.0,64900.44983277711,814.14
2023-02-12,30370.806981508773,0.0,64117.61123440806,867.71
2023-02-13,29024.25789451305,0.0,64533.895600487405,867.71
2023-02-14,27732.96552211622,0.0,60824.52608150346,867.71
2023-02-15,26497.86674468244,0.0,61033.776871737304,867.71
2023-02-16,25319.708328854525,0.0,56921.92498580326,867.71
2023-02-17,23860.949543136518,0.0,57020.088665670344,867.71
2023-02-18,22789.92031236817,0.0,56269.871986095604,867.71
2023-02-19,22063.36921570643,0.0,52440.274767701565,864.43
2023-02-20,21128.94440463467,0.0,51380.93997230439,864.43
2023-02-21,20255.47945268835,0.0,52705.77860400272,864.43
2023-02-22,19443.509880380294,0.0,51693.524251575574,864.43
2023-02-23,18693.57514133207,0.0,52405.10444171954,864.43
2023-02-24,17668.017463944998,0.0,50726.17831350682,864.43
2023-02-25,17035.038397036955,0.0,48959.75216970802,864.43
2023-02-26,16751.151091065618,0.0,50925.30057676937,922.14
2023-02-27,16263.574829034782,0.0,50143.1231506433,922.14
2023-02-28,15840.446866163791,0.0,49202.17321010458,922.14
2023-03-01,15481.279890696314,0.0,48858.477568816474,922.14
2023-03-02,15185.221910690609,0.0,46472.875722594115,922.14
2023-03-03,14612.831375340687,0.0,48540.181567226726,922.14
2023-03-04,14430.129153691942,0.0,48835.99897921641,922.14
2023-03-05,14591.065521704944,0.0,47668.25815702541,938.0
2023-03-06,14539.94814089112,0.0,47090.81639959537,938.0
2023-03-07,14541.704930926913,0.0,45902.41926722798,938.0
2023-03-08,14592.408409773932,0.0,46360.431667337216,938.0
2023-03-09,14687.616045572984,0.0,47996.62391561559,938.0
2023-03-10,14484.236722803755,0.0,47724.628734443104,938.0
2023-03-11,14644.681882726105,0.0,47871.97441861387,938.0
2023-03-12,15119.436168581087,0.0,45950.45339934057,1183.71
2023-03-13,15349.590086569502,0.0,49238.67790387556,1183.71
2023-03-14,15597.205071007507,0.0,48173.33836738565,1183.71
2023-03-15,15855.934081440808,0.0,49485.50447223929,1183.71
2023-03-16,16119.449006209674,0.0,47827.82325400975,1183.71
2023-03-17,16043.381982166804,0.0,51464.063948883406,1183.71
2023-03-18,16289.536567266972,0.0,48339.279775371906,1183.71
2023-03-19,16808.501423052774,0.0,49123.64890592421,1060.14
2023-03-20,17042.207360918248,0.0,47437.566961550685,1060.14
2023-03-21,17254.297050076704,0.0,50672.234724985654,1060.14
2023-03-22,17440.730024168246,0.0,52166.90199423418,1060.14
2023-03-23,17598.1743844631,0.0,49743.06351117021,1060.14
2023-03-24,17385.89304313624,0.0,49571.992421226896,1060.14
2023-03-25,17469.88176511766,0.0,51010.281695494195,1060.14
2023-03-26,17805.39353526265,0.0,49794.60758017226,1082.43
2023-03-27,17839.39246615908,0.0,50793.69623301005,1082.43
2023-03-28,17840.80932659581,0.0,52152.28208371402,1082.43
2023-03-29,17811.024447374548,0.0,49779.906664732785,1082.43
2023-03-30,17752.132766420225,0.0,49391.706001465864,1082.43
2023-03-31,17328.70236517219,0.0,51732.92363203877,1082.43
2023-04-01,17211.787303462297,0.0,48556.15422133301,1082.43
2023-04-02,17361.33276379083,0.0,50389.80555060467,1137.43
2023-04-03,17228.51903723804,0.0,48618.09192078456,1137.43
2023-04-04,17085.919483411613,0.0,49439.69114136264,1137.43
2023-04-05,16937.90091987075,0.0,47152.85449371107,1137.43
2023-04-06,16788.823469693478,0.0,50366.11099508759,1137.43
2023-04-07,16304.752988668813,0.0,49406.75664262804,1137.43
2023-04-08,16157.448101220392,0.0,49517.05121616224,1137.43
2023-04-09,16306.760496372404,0.0,47380.0881206331,945.29
2023-04-10,16202.995058150253,0.0,48265.43091892769,945.29
2023-04-11,16117.104407885832,0.0,49248.80329386685,945.29
2023-04-12,16051.14518032837,0.0,47856.26320577989,945.29
2023-04-13,16006.551385741885,0.0,51529.41039893968,945.29
2023-04-14,15645.935811363543,0.0,48221.2716563235,945.29
2023-04-15,15637.1788971295,0.0,47517.76072627031,945.29
2023-04-16,15935.940794468686,0.0,49645.061979899256,1468.29
2023-04-17,15988.139979307156,0.0,46728.95144219536,1468.29
2023-04-18,16060.269627402247,0.0,49308.7537102242,1468.29
2023-04-19,16149.975637647862,0.0,48304.317146672205,1468.29
2023-04-20,16254.448252685634,0.0,50383.81218488361,1468.29
2023-04-21,16032.334959656075,0.0,46678.90315077414,1468.29
2023-04-22,16147.931062001368,0.0,51546.57466195935,1468.29
2023-04-23,16553.7809007407,0.0,50208.23724734859,1552.43
2023-04-24,16693.230756687088,0.0,51717.69853388444,1552.43
2023-04-25,16830.802757967343,0.0,49969.5304438371,1552.43
2023-04-26,16962.812301791517,0.0,48653.6059932513,1552.43
2023-04-27,17085.78010603005,0.0,48128.743696481775,1552.43
2023-04-28,16858.346302106736,0.0,50073.23379581515,1552.43
2023-04-29,16945.443254061487,0.0,50850.14760455444,1552.43
2023-04-30,17300.86092731786,0.0,49363.59568458615,1597.57
2023-05-01,17369.747204533625,0.0,48842.97445745654,1597.57
2023-05-02,17418.914314420043,0.0,49136.96294808541,1597.57
2023-05-03,17447.37613982467,0.0,51792.21096372933,1597.57
2023-05-04,17454.67012307427,0.0,49697.84955889785,1597.57
2023-05-05,17102.674046241693,0.0,51228.269043918895,1597.57
2023-05-06,17059.67741312539,0.0,52838.95537441246,1597.57
2023-05-07,17282.844381187962,0.0,49429.7081920636,1514.71
2023-05-08,17220.613754148057,0.0,48188.69101787785,1514.71
2023-05-09,17142.91020899257,0.0,50383.9968933631,1514.71
2023-05-10,17051.59433718666,0.0,50849.141592864136,1514.71
2023-05-11,16948.70775370591,0.0,48524.89792484717,1514.71
2023-05-12,16498.22573540364,0.0,52092.62461152354,1514.71
2023-05-13,16370.078884686083,0.0,47206.07675362788,1514.71
2023-05-14,16522.58207127854,0.0,50720.281137359496,1608.86
2023-05-15,16404.816967166975,0.0,48636.42761525112,1608.86
2023-05-16,16286.842632605887,0.0,49616.026491163895,1608.86
2023-05-17,16170.16149255196,0.0,50547.94490207606,1608.86
2023-05-18,16055.996203832603,0.0,46563.27039261765,1608.86
2023-05-19,15607.08863573227,0.0,47752.0875009834,1608.86
2023-05-20,15491.780777111064,0.0,49529.578207050086,1608.86
2023-05-21,15666.513751220311,0.0,51581.0545645308,1574.71
2023-05-22,15578.288859288543,0.0,49397.38459452253,1574.71
2023-05-23,15494.962470377246,0.0,47279.48902880503,1574.71
2023-05-24,15415.799293171409,0.0,48929.96380294966,1574.71
2023-05-25,15339.836650546811,0.0,48235.61068374186,1574.71
2023-05-26,14927.768113819042,0.0,47412.106088970875,1574.71
2023-05-27,14846.103546302333,0.0,45686.29982876633,1574.71
2023-05-28,15049.739161316946,0.0,47331.613424455274,1608.86
2023-05-29,14984.47920581349,0.0,46764.88875376692,1608.86
2023-05-30,14917.379114215317,0.0,47045.48317621669,1608.86
2023-05-31,14847.333091792549,0.0,45908.59723201498,1608.86
2023-06-01,14773.45761647679,0.0,46977.84809087703,1608.86
2023-06-02,14356.978562098426,0.0,46525.380651592415,1608.86
2023-06-03,14265.378836028358,0.0,45763.88732977616,1608.86
2023-06-04,14454.94048074802,0.0,48321.23283446032,1273.86
2023-06-05,14373.223684536819,0.0,48355.48814858892,1273.86
2023-06-06,14289.35384314888,0.0,45414.89443191438,1273.86
2023-06-07,14204.541351874139,0.0,46145.57389260869,1273.86
2023-06-08,14120.387706577505,0.0,46768.84164964218,1273.86
2023-06-09,13700.688011602993,0.0,46087.53758915304,1273.86
2023-06-10,13615.489414120757,0.0,46660.32067788003,1273.86
2023-06-11,13823.54219224462,0.0,46627.891425202884,980.86
2023-06-12,13774.688786307062,0.0,45986.5297286454,980.86
2023-06-13,13740.06473888745,0.0,47062.91142501751,980.86
2023-06-14,13722.538940303957,0.0,43673.59551126405,980.86
2023-06-15,13724.9492862742,0.0,46533.67882620442,980.86
2023-06-16,13411.846107911326,0.0,47764.022194231875,980.86
2023-06-17,13453.50482119125,0.0,46361.036972206835,980.86
2023-06-18,13808.346057748025,0.0,47672.37207912108,775.71
2023-06-19,13925.309661266398,0.0,46549.82553077123,775.71
2023-06-20,14074.057137079115,0.0,47929.381223269746,775.71
2023-06-21,14255.4300819157,0.0,47605.52259669513,775.71
2023-06-22,14469.720334887785,0.0,47452.783828557105,775.71
2023-06-23,14378.463359002631,0.0,48950.86762177281,775.71
2023-06-24,14648.514989845618,0.0,47781.91246215288,775.71
2023-06-25,15234.548081848905,0.0,49350.33412856881,643.14
2023-06-26,15581.51333603268,0.0,49127.74695367677,643.14
2023-06-27,15954.936489650772,0.0,48094.73935473996,643.14
2023-06-28,16351.476752589391,0.0,49071.764889424565,643.14
2023-06-29,16767.29943285397,0.0,48566.5462372865,643.14
2023-06-30,16859.971387914535,0.0,51153.03414914501,643.14
2023-07-01,17292.636577278237,0.0,50179.79530741515,643.14
2023-07-02,18016.60548083167,0.0,49993.96700633359,252.0
