DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL,2019,4900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL,2020,4700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL,2021,5400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL,2022,6500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL0,2019,4900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL0,2020,4700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL0,2021,5400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL0,2022,6500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL01,2019,3900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL01,2020,3600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL01,2021,4300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL01,2022,5300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL02,2019,5900,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL02,2020,5800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL02,2021,6500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL02,2022,7700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL03,2019,4500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL03,2020,4200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL03,2021,5000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL03,2022,6000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT,2019,44600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT,2020,42700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT,2021,45400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT,2022,49600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT1,2019,44100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT1,2020,42000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT1,2021,45100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT1,2022,48100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT11,2019,30800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT11,2020,29700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT11,2021,31800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT11,2022,34500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT12,2019,37600,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT12,2020,35100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT12,2021,37400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT12,2022,40700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT13,2019,51800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT13,2020,50000,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT13,2021,53800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT13,2022,56500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT2,2019,40400,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT2,2020,38800,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT2,2021,41200,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT2,2022,45500,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT21,2019,38700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT21,2020,37700,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT21,2021,40100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT21,2022,45100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT22,2019,41100,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT22,2020,39300,,
ESTAT:NAMA_10R_2GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AT22,2021,41700,,
