DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,AL,2019,429780,e,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,AL,2020,349830,e,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,AL,2021,516654,e,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,AL,2022,643983,e,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,AL,2023,866132,e,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,AL,2024,919048,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,AT,2019,11144380,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,AT,2020,7236492,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,AT,2021,7042059,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,AT,2022,10504783,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,AT,2023,11065201,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,AT,2024,11249718,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,BE,2019,4953824,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,BE,2020,2538218,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,BE,2021,3995658,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,BE,2022,5077156,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,BE,2023,4989332,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,BE,2024,5041290,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,BG,2019,3516760,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,BG,2020,2410179,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,BG,2021,3241673,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,BG,2022,3957934,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,BG,2023,4347916,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,BG,2024,4517480,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,CH,2019,9295897,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,CH,2021,10075103,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,CH,2022,10599737,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,CH,2023,10819790,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,CH,2024,10958979,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,CY,2019,553143,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,CY,2020,572196,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,CY,2021,713176,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,CY,2022,644440,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,CY,2023,627243,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,CY,2024,685428,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,CZ,2019,7768037,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,CZ,2020,5368347,,
ESTAT:TOUR_OCC_ARNAT(1.0),24/04/26 23:00:00,A,DOM,NR,I551,CZ,2021,6324084,,
