country_region,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
Spain,,2020-01-01,-2.19948251720268,3.80051748279732,-1.759586013762144
Spain,,2020-01-02,-2.046280700341714,3.6263061885350107,-1.7596476557208152
Spain,,2020-01-03,-1.904149765526484,3.4265576743882895,-1.7683046741303206
Spain,,2020-01-04,-1.7740916181200501,3.2008371911848483,-1.7860977545578114
Spain,,2020-01-05,-1.6571150404780035,2.948738773655479,-1.813574064224321
Spain,,2020-01-06,-1.5542338178290462,2.6698860660743327,-1.8512862405779689
Spain,,2020-01-07,-1.4664647586309467,2.363933164705613,-1.8997912928581742
Spain,,2020-01-08,-1.3948256086210105,2.0305654799503525,-1.9596494151699424
Spain,,2020-01-09,-1.3403328582801683,1.6695006208082002,-2.031422709993148
Spain,,2020-01-10,-1.3039994439752483,1.2804893039400937,-2.115673821495416
Spain,,2020-01-11,-1.2868323436337703,0.8633162892392621,-2.212964478497771
Spain,,2020-01-12,-1.2898300684386528,0.41780134339038444,-2.323853947458851
Spain,,2020-01-13,-1.3139800527048062,-0.056199767578599236,-2.4488973963947336
Spain,,2020-01-14,-1.360255944813284,-0.5587942562688424,-2.5886441712353188
Spain,,2020-01-15,-1.4296148028292555,-1.0900512624893919,-2.74363598673306
Spain,,2020-01-16,-1.5229941992135858,-1.6500007731309436,-2.914405034682283
Spain,,2020-01-17,-1.6413092398514646,-2.238632514667609,-3.101472012875277
Spain,,2020-01-18,-1.7854495034601143,-2.85589482029797,-3.3053440789104456
Spain,,2020-01-19,-1.9562759082971661,-3.5016934744449646,-3.5265127336750193
Spain,,2020-01-20,-2.1546175139662074,-4.175890538067316,-3.7654516400454834
Spain,,2020-01-21,-2.3812682670005794,-4.878303158987923,-4.022614383078462
Spain,,2020-01-22,-2.636983699794601,-5.608702372211114,-4.298432178698416
Spain,,2020-01-23,-2.922477593336586,-6.366811895974877,-4.593311538620808
Spain,,2020-01-24,-3.2384186150730354,-7.152306930059019,-4.90763189997469
Spain,,2020-01-25,-3.5854269440911946,-7.9648129636391385,-5.241743228801255
Spain,,2020-01-26,-3.9640708966397025,-8.803904600731263,-5.595963607298152
Spain,,2020-01-27,-4.37486356580719,-9.669104412006373,-5.97057681534776
Spain,,2020-01-28,-4.8182594899373,-10.559881822458632,-6.3658299175035715
Spain,,2020-01-29,-5.294651365068658,-11.475652045079253,-6.781930867206915
Spain,,2020-01-30,-5.804366817340379,-12.415775071310314,-7.219046140558602
Spain,,2020-01-31,-6.347665251890737,-13.37955472962233,-7.677298412471253
Spain,,2020-02-01,-6.9247347952893,-14.366237824067056,-8.156764288470388
Spain,,2020-02-02,-7.535689348974217,-15.37501336509575,-8.657472105790312
Spain,,2020-02-03,-8.180565771507883,-16.40501190529441,-9.179399817717464
Spain,,2020-02-04,-8.859321207709115,-17.45530499296479,-9.722472975363791
Spain,,2020-02-05,-9.571830582861208,-18.52490475666584,-10.286562821200093
Spain,,2020-02-06,-10.31788428022558,-19.612763633917595,-10.871484508738353
Spain,,2020-02-07,-11.097186020006038,-20.717774257254234,-11.476995462719595
Spain,,2020-02-08,-11.909350957701673,-21.838769510687357,-12.102793894033539
Spain,,2020-02-09,-12.75390401945461,-22.974522769402064,-12.748517483366703
Spain,,2020-02-10,-13.630278491537222,-24.123748335152115,-13.413742247242162
Spain,,2020-02-11,-14.537814880530583,-25.28510207934425,-14.097981599675876
Spain,,2020-02-12,-15.475760060018803,-26.457182305202558,-14.800685622128892
Spain,,2020-02-13,-16.44326671876345,-27.638530839682687,-15.521240553782349
Spain,,2020-02-14,-17.439393124327335,-28.827634364960357,-16.2589685134024
Spain,,2020-02-15,-18.46310321499059,-30.022925998352584,-17.013127463196707
Spain,,2020-02-16,-19.513267031545364,-31.222787128443894,-17.782911424094763
Spain,,2020-02-17,-20.588661499174307,-32.42554951398839,-18.567450950814735
Spain,,2020-02-18,-21.687971568115703,-33.62949765084578,-19.36581387391262
Spain,,2020-02-19,-22.809791720202075,-34.83287141079126,-20.177006314751743
Spain,,2020-02-20,-23.952627846636673,-36.033868954523726,-20.99997397798664
Spain,,2020-02-21,-25.11489950055118,-37.23064991958955,-21.8336037247327
Spain,,2020-02-22,-26.294942525979966,-38.42133888225378,-22.676725428099555
Spain,,2020-02-23,-27.49101206289962,-39.60402909059235,-23.528114111209835
Spain,,2020-02-24,-28.70128592593154,-40.77678646426337,-24.386492366216025
Spain,,2020-02-25,-29.923868352201282,-41.937653854552785,-25.250533051176404
Spain,,2020-02-26,-31.15679411170578,-43.08465555639309,-26.118862259967447
Spain,,2020-02-27,-32.398032971371904,-44.215802062137826,-26.99006255870577
Spain,,2020-02-28,-33.64549450181392,-45.329095044953476,-27.862676480440918
Spain,,2020-02-29,-34.89703321362649,-46.42253255777863,-28.735210268171542
Spain,,2020-03-01,-36.15045400790265,-47.49411443191454,-29.606137854546763
Spain,,2020-03-02,-37.40351792355635,-48.54184785746568,-30.473905064952774
Spain,,2020-03-03,-38.653948161975755,-49.56375312606112,-31.336934029066914
Spain,,2020-03-04,-39.89943636755076,-50.55786951457147,-32.19362778439924
Spain,,2020-03-05,-41.13764914072389,-51.52226128690942,-33.04237505384894
Spain,,2020-03-06,-42.36623475842325,-52.45502378947824,-33.88155517789213
Spain,,2020-03-07,-43.58283007506544,-53.35428961442781,-34.709543180701345
Spain,,2020-03-08,-44.78506757577955,-54.21823480360613,-35.52471494828681
Spain,,2020-03-09,-45.97058255211577,-55.045085064968674,-36.325452495657316
Spain,,2020-03-10,-47.137020369275874,-55.83312197224215,-37.11014929903418
Spain,,2020-03-11,-48.28204379285151,-56.58068911784353,-37.877215668325704
Spain,,2020-03-12,-49.40334034218881,-57.286198188441126,-38.62508413438983
Spain,,2020-03-13,-50.498629636826976,-57.948134932120745,-39.35221482508809
Spain,,2020-03-14,-51.565670701989205,-58.56506498589377,-40.05710080377
Spain,,2020-03-15,-52.60226919884681,-59.13563953226312,-40.73827334363019
Spain,,2020-03-16,-53.60628454523377,-59.65860075375007,-41.394307111354344
Spain,,2020-03-17,-54.57563689266533,-60.13278705468465,-42.02382523361753
Spain,,2020-03-18,-55.508313925910635,-60.55713802017498,-42.6255042203209
Spain,,2020-03-19,-56.40237745198714,-60.93069908299675,-43.198078718950875
Spain,,2020-03-20,-57.25596974628099,-61.25262587017961,-43.74034607511606
Spain,,2020-03-21,-58.0673196245493,-61.52218820231033,-44.251170675159685
Spain,,2020-03-22,-58.83474821082321,-61.738773720015786,-44.72948804775456
Spain,,2020-03-23,-59.55667437269488,-61.90189111372468,-45.174308702557056
Spain,,2020-03-24,-60.2316197971322,-62.01117293462824,-45.58472168532125
Spain,,2020-03-25,-60.85821368180702,-62.06637796675218,-45.95989783034277
Spain,,2020-03-26,-61.43519701893868,-62.06739314220678,-46.2990926927078
Spain,,2020-03-27,-61.961426450826806,-62.01423498398212,-46.60164914455269
Spain,,2020-03-28,-62.43587767856394,-61.90705056308686,-46.866999621382526
Spain,,2020-03-29,-62.857648407861376,-61.74611795937607,-47.09466800644091
Spain,,2020-03-30,-63.22596081847458,-61.531846218057005,-47.284271143152345
Spain,,2020-03-31,-63.54016354635882,-61.264774796584675,-47.435519967760534
Spain,,2020-04-01,-63.79973317040199,-60.94557249944137,-47.54822025644341
