fecha,comunidad_autonoma,sexo,grupo_edad,num_casos,num_hosp,num_uci,num_def
2020-01-01,Andalusia,M,0-19,0,0,0,0
2020-01-01,Andalusia,M,20-39,59,6,1,0
2020-01-01,Andalusia,M,40-59,72,10,1,1
2020-01-01,Andalusia,M,60-79,0,0,0,0
2020-01-01,Andalusia,M,80+,42,8,1,1
2020-01-01,Andalusia,F,0-19,25,2,0,0
2020-01-01,Andalusia,F,20-39,20,2,0,0
2020-01-01,Andalusia,F,40-59,35,4,0,0
2020-01-01,Andalusia,F,60-79,22,3,0,0
2020-01-01,Andalusia,F,80+,92,18,3,2
2020-02-01,Andalusia,M,0-19,76,6,1,0
2020-02-01,Andalusia,M,20-39,77,8,1,0
2020-02-01,Andalusia,M,40-59,124,17,3,1
2020-02-01,Andalusia,M,60-79,135,22,3,2
2020-02-01,Andalusia,M,80+,141,28,5,3
2020-02-01,Andalusia,F,0-19,54,4,0,0
2020-02-01,Andalusia,F,20-39,33,3,0,0
2020-02-01,Andalusia,F,40-59,100,14,2,1
2020-02-01,Andalusia,F,60-79,97,16,2,1
2020-02-01,Andalusia,F,80+,131,26,4,3
2020-03-01,Andalusia,M,0-19,72,5,0,0
2020-03-01,Andalusia,M,20-39,169,18,3,1
2020-03-01,Andalusia,M,40-59,154,21,3,2
2020-03-01,Andalusia,M,60-79,199,33,5,3
2020-03-01,Andalusia,M,80+,282,56,10,7
2020-03-01,Andalusia,F,0-19,92,7,1,0
2020-03-01,Andalusia,F,20-39,119,13,2,0
2020-03-01,Andalusia,F,40-59,142,19,3,1
2020-03-01,Andalusia,F,60-79,187,31,5,3
2020-03-01,Andalusia,F,80+,303,60,10,7
2020-04-01,Andalusia,M,0-19,126,10,1,0
2020-04-01,Andalusia,M,20-39,183,20,3,1
2020-04-01,Andalusia,M,40-59,213,29,5,2
2020-04-01,Andalusia,M,60-79,335,56,10,6
2020-04-01,Andalusia,M,80+,470,94,16,12
2020-04-01,Andalusia,F,0-19,110,8,1,0
2020-04-01,Andalusia,F,20-39,137,15,2,1
2020-04-01,Andalusia,F,40-59,170,23,4,2
2020-04-01,Andalusia,F,60-79,279,47,8,5
2020-04-01,Andalusia,F,80+,379,75,13,9
2020-05-01,Andalusia,M,0-19,192,15,2,0
2020-05-01,Andalusia,M,20-39,232,25,4,1
2020-05-01,Andalusia,M,40-59,309,43,7,4
2020-05-01,Andalusia,M,60-79,407,69,12,8
2020-05-01,Andalusia,M,80+,561,112,20,14
2020-05-01,Andalusia,F,0-19,170,13,2,0
2020-05-01,Andalusia,F,20-39,213,23,4,1
2020-05-01,Andalusia,F,40-59,268,37,6,3
2020-05-01,Andalusia,F,60-79,332,56,10,6
2020-05-01,Andalusia,F,80+,462,92,16,12
2020-06-01,Andalusia,M,0-19,210,16,2,0
2020-06-01,Andalusia,M,20-39,230,25,4,1
2020-06-01,Andalusia,M,40-59,318,44,7,4
2020-06-01,Andalusia,M,60-79,423,71,12,8
2020-06-01,Andalusia,M,80+,583,116,20,15
2020-06-01,Andalusia,F,0-19,148,11,1,0
2020-06-01,Andalusia,F,20-39,268,29,5,2
2020-06-01,Andalusia,F,40-59,242,33,5,3
2020-06-01,Andalusia,F,60-79,387,65,11,7
2020-06-01,Andalusia,F,80+,442,88,15,11
2020-07-01,Andalusia,M,0-19,167,13,2,0
2020-07-01,Andalusia,M,20-39,258,28,5,2
2020-07-01,Andalusia,M,40-59,322,45,8,4
2020-07-01,Andalusia,M,60-79,427,72,12,8
2020-07-01,Andalusia,M,80+,582,116,20,15
2020-07-01,Andalusia,F,0-19,135,10,1,0
2020-07-01,Andalusia,F,20-39,193,21,3,1
2020-07-01,Andalusia,F,40-59,275,38,6,3
2020-07-01,Andalusia,F,60-79,326,55,9,6
2020-07-01,Andalusia,F,80+,418,83,14,10
2020-08-01,Andalusia,M,0-19,108,8,1,0
2020-08-01,Andalusia,M,20-39,176,19,3,1
2020-08-01,Andalusia,M,40-59,259,36,6,3
2020-08-01,Andalusia,M,60-79,330,56,10,6
2020-08-01,Andalusia,M,80+,468,93,16,12
2020-08-01,Andalusia,F,0-19,103,8,1,0
2020-08-01,Andalusia,F,20-39,171,18,3,1
2020-08-01,Andalusia,F,40-59,218,30,5,3
2020-08-01,Andalusia,F,60-79,257,43,7,5
2020-08-01,Andalusia,F,80+,380,76,13,9
2020-09-01,Andalusia,M,0-19,82,6,1,0
2020-09-01,Andalusia,M,20-39,135,14,2,1
2020-09-01,Andalusia,M,40-59,164,22,3,2
2020-09-01,Andalusia,M,60-79,198,33,5,3
2020-09-01,Andalusia,M,80+,337,67,12,8
2020-09-01,Andalusia,F,0-19,69,5,0,0
2020-09-01,Andalusia,F,20-39,120,13,2,0
2020-09-01,Andalusia,F,40-59,158,22,3,2
2020-09-01,Andalusia,F,60-79,205,34,6,4
2020-09-01,Andalusia,F,80+,283,56,10,7
2020-10-01,Andalusia,M,0-19,72,5,0,0
2020-10-01,Andalusia,M,20-39,94,10,1,0
2020-10-01,Andalusia,M,40-59,126,17,3,1
2020-10-01,Andalusia,M,60-79,121,20,3,2
2020-10-01,Andalusia,M,80+,192,38,6,4
2020-10-01,Andalusia,F,0-19,21,1,0,0
2020-10-01,Andalusia,F,20-39,57,6,1,0
2020-10-01,Andalusia,F,40-59,117,16,2,1
2020-10-01,Andalusia,F,60-79,113,19,3,2
2020-10-01,Andalusia,F,80+,181,36,6,4
2020-11-01,Andalusia,M,0-19,110,8,1,0
2020-11-01,Andalusia,M,20-39,90,9,1,0
2020-11-01,Andalusia,M,40-59,144,20,3,2
2020-11-01,Andalusia,M,60-79,134,22,3,2
2020-11-01,Andalusia,M,80+,217,43,7,5
2020-11-01,Andalusia,F,0-19,29,2,0,0
2020-11-01,Andalusia,F,20-39,73,8,1,0
2020-11-01,Andalusia,F,40-59,125,17,3,1
2020-11-01,Andalusia,F,60-79,81,13,2,1
2020-11-01,Andalusia,F,80+,196,39,7,5
2020-12-01,Andalusia,M,0-19,101,8,1,0
2020-12-01,Andalusia,M,20-39,116,12,2,0
2020-12-01,Andalusia,M,40-59,118,16,2,1
2020-12-01,Andalusia,M,60-79,217,36,6,4
2020-12-01,Andalusia,M,80+,280,56,10,7
2020-12-01,Andalusia,F,0-19,84,6,1,0
2020-12-01,Andalusia,F,20-39,110,12,2,0
2020-12-01,Andalusia,F,40-59,180,25,4,2
2020-12-01,Andalusia,F,60-79,169,28,5,3
2020-12-01,Andalusia,F,80+,211,42,7,5
2021-01-01,Andalusia,M,0-19,146,11,1,0
2021-01-01,Andalusia,M,20-39,208,22,3,1
2021-01-01,Andalusia,M,40-59,283,39,7,3
2021-01-01,Andalusia,M,60-79,348,59,10,6
2021-01-01,Andalusia,M,80+,455,91,16,11
2021-01-01,Andalusia,F,0-19,159,12,2,0
2021-01-01,Andalusia,F,20-39,129,14,2,1
2021-01-01,Andalusia,F,40-59,179,25,4,2
2021-01-01,Andalusia,F,60-79,236,40,7,4
2021-01-01,Andalusia,F,80+,352,70,12,9
2021-02-01,Andalusia,M,0-19,163,13,2,0
2021-02-01,Andalusia,M,20-39,311,34,6,2
2021-02-01,Andalusia,M,40-59,343,48,8,4
2021-02-01,Andalusia,M,60-79,423,71,12,8
2021-02-01,Andalusia,M,80+,612,122,21,15
2021-02-01,Andalusia,F,0-19,176,14,2,0
2021-02-01,Andalusia,F,20-39,264,29,5,2
2021-02-01,Andalusia,F,40-59,346,48,8,4
2021-02-01,Andalusia,F,60-79,469,79,14,9
2021-02-01,Andalusia,F,80+,538,107,19,13
2021-03-01,Andalusia,M,0-19,239,19,3,0
2021-03-01,Andalusia,M,20-39,320,35,6,2
2021-03-01,Andalusia,M,40-59,469,65,11,6
2021-03-01,Andalusia,M,60-79,590,100,18,11
2021-03-01,Andalusia,M,80+,833,166,29,21
2021-03-01,Andalusia,F,0-19,201,16,2,0
2021-03-01,Andalusia,F,20-39,310,34,6,2
2021-03-01,Andalusia,F,40-59,409,57,10,5
2021-03-01,Andalusia,F,60-79,508,86,15,10
2021-03-01,Andalusia,F,80+,687,137,24,17
2021-04-01,Andalusia,M,0-19,287,22,3,0
2021-04-01,Andalusia,M,20-39,405,44,7,3
2021-04-01,Andalusia,M,40-59,532,74,13,7
2021-04-01,Andalusia,M,60-79,727,123,22,14
2021-04-01,Andalusia,M,80+,1055,211,37,27
2021-04-01,Andalusia,F,0-19,264,21,3,0
2021-04-01,Andalusia,F,20-39,402,44,7,3
2021-04-01,Andalusia,F,40-59,432,60,10,6
2021-04-01,Andalusia,F,60-79,560,95,17,11
2021-04-01,Andalusia,F,80+,790,158,28,20
2021-05-01,Andalusia,M,0-19,318,25,4,0
2021-05-01,Andalusia,M,20-39,549,60,10,4
2021-05-01,Andalusia,M,40-59,558,78,14,7
2021-05-01,Andalusia,M,60-79,802,136,24,16
2021-05-01,Andalusia,M,80+,1041,208,37,27
2021-05-01,Andalusia,F,0-19,306,24,4,0
2021-05-01,Andalusia,F,20-39,408,44,7,3
2021-05-01,Andalusia,F,40-59,472,66,11,6
2021-05-01,Andalusia,F,60-79,634,107,19,12
2021-05-01,Andalusia,F,80+,854,170,30,22
2021-06-01,Andalusia,M,0-19,341,27,4,0
2021-06-01,Andalusia,M,20-39,454,49,8,3
2021-06-01,Andalusia,M,40-59,525,73,13,7
2021-06-01,Andalusia,M,60-79,711,120,21,14
2021-06-01,Andalusia,M,80+,1035,207,37,26
2021-06-01,Andalusia,F,0-19,315,25,4,0
2021-06-01,Andalusia,F,20-39,388,42,7,3
2021-06-01,Andalusia,F,40-59,456,63,11,6
2021-06-01,Andalusia,F,60-79,621,105,18,12
2021-06-01,Andalusia,F,80+,882,176,31,22
2021-07-01,Andalusia,M,0-19,297,23,4,0
2021-07-01,Andalusia,M,20-39,403,44,7,3
2021-07-01,Andalusia,M,40-59,531,74,13,7
2021-07-01,Andalusia,M,60-79,677,115,20,13
2021-07-01,Andalusia,M,80+,959,191,34,24
2021-07-01,Andalusia,F,0-19,243,19,3,0
2021-07-01,Andalusia,F,20-39,303,33,5,2
2021-07-01,Andalusia,F,40-59,366,51,9,5
2021-07-01,Andalusia,F,60-79,593,100,18,11
2021-07-01,Andalusia,F,80+,799,159,28,20
2021-08-01,Andalusia,M,0-19,239,19,3,0
2021-08-01,Andalusia,M,20-39,338,37,6,2
2021-08-01,Andalusia,M,40-59,463,64,11,6
2021-08-01,Andalusia,M,60-79,526,89,16,10
2021-08-01,Andalusia,M,80+,743,148,26,19
2021-08-01,Andalusia,F,0-19,219,17,3,0
2021-08-01,Andalusia,F,20-39,274,30,5,2
2021-08-01,Andalusia,F,40-59,343,48,8,4
2021-08-01,Andalusia,F,60-79,453,77,13,9
2021-08-01,Andalusia,F,80+,640,128,23,16
